Season,Episode,Title,Airdate,Synopsis,Directed by,Written by
16,3,Boom,"October 9th, 2018","One of the NCIS agents is starstruck after the team investigates an explosion outside the home of Navy Petty Officer First Class Todd Nicholas and his wife, popular reality TV star Sheba Nicholas. Also, Vance continues physical therapy for the injuries sustained when he was held hostage.",Leslie Libman,Brendan Fehily
16,4,Third Wheel,"October 16, 2018","Gibbs’ quiet vacation at his remote cabin is interrupted by a surprise visit from Tobias Fornell and Navy Captain Phillip Brooks, as well as a call from NCIS asking for his help locating a robber hiding in the woods near him.",James Whitmore Jr.,Christopher J. Waild
16,5,Fragments,"October 23, 2018","After a 50-year-old tape recording left by a murder victim is found, the NCIS team tries to exonerate Ray Jennings, the Marine serving a life sentence for the crime.",Michael Zinberg,Gina Lucita Monreal
16,6,Beneath The Surface,"October 30, 2018","After NCIS arrives at a Halloween crime scene, Torres recognizes the victim as a friend from federal law enforcement training while Jimmy thinks his lab is haunted by ghosts after objects keep mysteriously moving.",Rocky Carroll,Scott J. Jarrett & Matthew R. Jarrett
16,7,A Thousand Words,"November 13, 2018","After a mural by a street artist and activist is stolen, the NCIS investigation leads to a conspiracy regarding a Navy contractor and the safety of ocean mammals. Also, Bishop shares a special connection with the street artist.",Alrick Riley,David J. North
16,8,Friendly Fire,"November 20, 2018",McGee and Bishop travel to Afghanistan after a murder case in the states is linked to a string of soldiers killed by friendly fire overseas while Kasie leaves the lab and accompanies Torres into the field to process additional forensic evidence.,Thomas J. Wright,Jennifer Corbett
16,9,Tailing Angie,"December 4, 2018","When the lead suspect of an unsolved and high-profile robbery case is released from prison, the NCIS team resumes their investigation with an undercover stakeout.",Terrence O'Hara,George Schenck
16,10,What Child is This?,"December 11, 2018",The team's holiday plans are put on hold when the murder investigation of a Navy veteran includes the discovery of a newborn baby who has no identification and no apparent ties to a family.,Michael Zinberg,Scott Williams
16,11,Toil and Trouble,"January 8, 2019",United States Secretary of Defense Wynn Crawford shuts down Gibbs's murder investigation and demands that Special Agents McGee and Torres be arrested for their actions in the case.,Leslie Libman,Christopher J. Waild
16,12,The Last Link,"January 15, 2019","An old family friend, Army Corporal John Sydney, beseeches Gibbs to join him on a road trip to search for a missing military I.D. bracelet while the rest of the team investigate when a Navy Lieutenant in NCIS protective custody is fatally poisoned by an infamous drug dealer.",Rocky Carroll,Brendan Fehily
16,13,She,"February 12, 2019","After a malnourished and confused nine year old girl is found hiding in a storage unit, NCIS reopens an old missing persons case when the girl is believed to be the daughter of a Navy recruit who disappeared 10 years ago while Bishop soon discovers notes that former NCIS Special Agent Ziva David kept on the case long after the team officially stopped investigating.",Mark Horowitz,Gina Lucita Monreal
16,14,Once Upon a Tim,"February 19, 2019",McGee reluctantly visits his high school after the unique computer password he used as a teenager is linked to the murder of a department of defense contractor. The case escalates when an intruder breaks into McGee's home in an attempt to steal his archaic high school computer.,Tony Wharmby,David J. North & Steven D. Binder
16,15,Crossing The Line,"February 26, 2019",The NCIS team investigates a man overboard fatality from a Navy destroyer at sea while Torres is frustrated when Vance assigns him to mentor three high school students.,Michael Zinberg,Jennifer Corbett
16,16,Bears and Cubs,"March 12, 2019","Jimmy is torn between family and work after his father-in-law, Ed, asks him to tamper with evidence from NCIS's current murder investigation while Ed's poker buddy, Anthony DiNozzo, Sr., offers to help with the case.",Diana Valentine,Scott Williams
16,17,Silent Service,"March 26, 2019",Director Vance is notified by the Pentagon that the nuclear submarine Gibbs and Bishop are aboard to conduct a murder investigation has gone radio silent.,Rocky Carroll,Scott J. Jarrett & Matthew R. Jarrett
16,18,Mona Lisa,"April 2, 2019","Torres relies on his team's investigative skills after he wakes up on a dilapidated fishing boat, covered in blood and unable to remember the last 12 hours.",Alrick Riley,David J. North & Brendan Fehily
16,19,Perennial,"April 9, 2019","Following an active shooter lockdown at a naval hospital, the NCIS team searches for a suspect who fled the scene with Sloane also personally investigating after she discovers that someone from her past was inside the hospital and as such, is a key witness in the case.",Tony Wharmby,Gina Lucita Monreal
16,20,Hail & Farewell,"April 16, 2019",NCIS investigates the murder of a Marine Major believed to have been killed in the 9/11 attack on the Pentagon after human remains are discovered at a construction site. A personal history with the victim drives Gibbs to solve her crime.,Michael Zinberg,Jennifer Corbett
16,21,"Judge, Jury...","April 30, 2019","After entering cold case DNA into the system, Kasie solves a 30-year-old murder case, but a loophole in the legal system may set the suspect free. Also, McGee visits an elite technology company in Silicon Valley that is offering him a highly paid position.",James Whitmore Jr.,Christopher J. Waild
16,22,...and Executioner,"May 7, 2019","After NCIS finds a secret government bank account that’s funding a nationwide network of vigilante justice, the team must determine who is acting as judge and jury.",Terrence O'Hara,Christopher J. Waild & David J. North
16,23,Lost Time,"May 14, 2019","The NCIS team investigates the murder of a Marine Sergeant in the States who was hailed as a war hero for his efforts overseas. Also, Gibbs turns to Doctor Grace Confalone for advice after he uncharacteristically unravels and abandons his team at a crime scene investigation.",Diana Valentine,Scott Williams & Frank Cardea
16,24,Daughters,"May 21, 2019","Former FBI Agent Tobias Fornell pleads with Gibbs to do whatever is necessary to take down drug dealers and suppliers in the area after his daughter, Emily Fornell, is hospitalized from an opiate overdose. Gibbs is haunted by the personal aspects of the case and his history with vigilante justice.",Tony Wharmby,Steven D. Binder
17,1,Out of the Darkness,"September 24th, 2019","Ziva surprises Gibbs with a cryptic warning, prompting him to question why she remained underground for years while being presumed dead by her family and her former NCIS colleagues.",Terrence O'Hara,Gina Lucita Monreal
17,2,Into the Light,"October 1st, 2019","With their lives in danger, Gibbs and Ziva's rogue investigation takes an unexpected turn when a possible terrorist plot is revealed.",Tony Wharmby,Steven D. Binder
17,3,Going Mobile,"October 8th, 2019","After the body of a Marine Lieutenant is found hidden under an 18-wheeler, the NCIS team tracks the vehicle’s previous locations to pinpoint the crime scene and suspect. Also, Sloane encourages the team to sit down and talk about Ziva’s recent reappearance.",Thomas J. Wright,Scott Williams
17,4,Someone Else's Shoes,"October 15th, 2019","The NCIS team links a bizarre crime scene at Arlington National Cemetery to a string of attacks on homeless veterans. Also, Vance orders McGee, Bishop and Torres to complete hours of evidence garage cleanup duty for withholding information.",Michael Zinberg,Christopher J. Waild
17,5,Wide Awake,"October 22nd, 2019","NCIS investigates Marine Corporal Laney Alimonte after evidence suggests she murdered her neighbor while being treated for insomnia by a hypnotherapist. Also, Gibbs befriends his new neighbors after the 9-year-old’s baseball crashes through his window.",Diana Valentine,Brendan Fehily
17,6,Institutionalized,"November 5th, 2019","When a petty officer’s son is found murdered at his “welcome home from prison” party, the evidence suggests Kasie’s lifelong best friend, Dante Brown, is the suspect.",Tony Wharmby,David J. North
17,7,No Vacancy,"November 12th, 2019","While investigating a Marine’s murder, the NCIS team uncovers a labyrinth of live-streaming spy cameras hidden in the rooms of a Virginia motel.",Rocky Carroll,Marco Schnabel
17,8,Musical Chairs,"November 19th, 2019",The team investigates the murder of a musician in the Navy's most elite band that performs at diplomatic events around the world.,Michael Zinberg,Kate Torgovnick May
17,9,IRL,"November 26th, 2019","The team investigates a petty officer's murder that was live-streamed on a popular gaming app. Also, Gibbs watches his 11-year-old neighbor, Phineas, when his mom must leave on a last-minute trip.",Terrence O'Hara,Christopher J. Waild
17,10,The North Pole,"December 17th, 2019","Gibbs and the team assist Ziva with ""the one thing"" she said she would need to take care of before returning to her family.",James Whitmore Jr.,Gina Lucita Monreal
17,11,In The Wind,"January 7th, 2020",Gibbs must face the reality of his actions after he assists Ziva with “the one thing” she said she would need to take care of before returning to her family.,Rocky Carroll,Scott Williams
17,12,Flight Plan,"January 14th, 2020","The team investigates an F-18 crash and the subsequent disappearance of the pilot who operated the aircraft. Also, McGee reluctantly discusses a very personal decision with his teammates.",Tawnia McKiernan,Brendan Fehily
17,13,Sound Off,"January 21st, 2020","After a body is found at an unmanned aerial vehicle testing site, the team must determine if the death was murder or an accident. Also, Palmer carefully interviews medical examiner assistant candidates.",William Webb,Lisa Di Trolio
17,14,On Fire,"January 28th, 2020","After Torres and Bishop are victims of a hit-and-run, Torres fights for his life in the ICU.",Mark Horowitz,David J. North & Steven D. Binder
17,15,Lonely Hearts,"February 11th, 2020","The lead suspect in a murder investigation is a woman Gibbs' friend, Phil Brooks, met on a dating site. Also, Sloane has a secret admirer on Valentine's Day.",Michael Zinberg,Marco Schnabel
17,16,Ephemera,"February 18th, 2020","While investigating the suicide of a retired Navy officer who left a rare, valuable - and possibly stolen - coin to the National Museum of the Navy, the team imagines themselves in his life story in order to piece together how the coin ended up in his possession.",Diana Valentine,Christopher J. Waild
17,17,In a Nutshell,"March 10th, 2020","As the team investigates the death of a Navy officer murdered the same way as his parents a decade ago, they stumble across a storage container filled with dollhouses that display recreations of murder scenes. Also, the team agrees to clean out their living spaces, but some have a harder time saying goodbye to their possessions than others.",Michael Zinberg,Katie White
17,18,Schooled,"March 24th, 2020","The team searches for answers when the body of a well-regarded Navy technician in the Reserves is found floating in a lake where a popular community event is being held. Also, Sloane is caught off-guard when her daughter, Faith, makes an unexpected request.",Alrick Riley,Kate Torgovnick May & Steven D. Binder
17,19,Blarney,"March 31st, 2020","When Kasie and Jimmy are held hostage in a diner after a jewellery store robbery goes awry, they attempt to keep the other customers safe from the thieves.",Rocky Carroll,Scott Williams
17,20,The Arizona,"April 14th, 2020","The team tries to verify the identity of Joe Smith, who claims he served on the USS Arizona during the attack on Pearl Harbor, and wants to be buried there upon his death.",James Whitmore Jr.,Gina Lucita Monreal
18,1,Sturgeon Season,"November 17, 2020","Gibbs and Fornell attempt to track down the leader of a drug ring who supplied drugs to Fornell's daughter. Also, the team deals with the case of a missing cadaver from the NCIS autopsy room.",Michael Zinberg,Scott Williams
18,2,Everything Starts Somewhere,"November 24, 2020","Flashbacks reveal the murder case that first introduced young Gibbs to NCIS and his introduction to young, new-to-America Ducky.",Terrence O'Hara,Steven D. Binder
18,3,Blood and Treasure,"December 8, 2020","The discovery of two dead bodies in a forest leads the team into the wild world of modern-day treasure hunting, and Gibbs and Fornell get deeper into their search for the opioid kingpin.",Diana Valentine,Christopher J. Waild
18,4,Sunburn,"January 19, 2021","McGee and Delilah's Bahamian vacation turns into a high-stakes mission when a case NCIS is tracking of a dead escape room manager has ties to the island. Also, Gibbs fears the worst when his search for Fornell leads to blood.",Rocky Carroll,Marco Schnabel
18,5,Head of the Snake,"January 19, 2021","Gibbs and Fornell's crusade to find the head of the drug ring responsible for Emily's overdose comes to a climax. Also, Gibbs and Vance finally let the team in on a case that has dangerous implications.",Tawnia McKiernan,Brendan Fehily & David J. North
18,6,1mm,"January 26, 2021","Following a tip about smuggled weapons, Bishop and Torres engage in a shootout in a former sheriff's residence that's now a historical site, only to find themselves locked in abandoned jail cells there.",Diana Valentine,Gina Lucita Monreal
18,7,The First Day,"February 9, 2021","The team investigates the murder of a Navy officer who was killed while driving home a recently released inmate. Also, Gibbs helps Palmer deal with a personal trauma.",James Whitmore Jr.,Margaret Rose Lester
18,8,True Believer,"March 2, 2021","When Sloane's name is discovered in Afghanistan at the site of an abandoned bus with a dead driver, Gibbs accompanies her on a trip to find a group of girls who were kidnapped from the bus. Also, McGee, Bishop and Torres track down a hacker who emailed compromising information to the Taliban.",Terrence O'Hara,Jill Weinberger
18,9,Winter Chill,"March 9, 2021",The team dives into the competitive world of food trucks after finding a man frozen to death in the back of one.,Michael Zinberg,Scott Williams
18,10,Watchdog,"March 16, 2021","The team uncovers a secret dogfighting ring, which leads to an unexpected move by one of the team members.",Diana Valentine,Brendan Fehily & David J. North
18,11,Gut Punch,"April 6, 2021","Vance assigns McGee, Torres and Bishop to COVID compliance duty at a foreign affairs summit, where they discover a link to another NCIS team's murder case.",Rocky Carroll,Christopher J. Waild
18,12,Sangre,"April 27, 2021","Evidence from the stabbing of a Marine Sergeant leads Torres to meet his father, who left when he was a child.",James Whitmore Jr.,Marco Schnabel
18,13,Misconduct,"May 4, 2021","While the team investigates a biker killed in a hit and run, Gibbs prepares to testify against a financial advisor who stole millions from his Navy clients.",Tawnia McKiernan,Brendan Fehily & Margaret Rose Lester & David J. North
18,14,Unseen Improvements,"May 11, 2021",The team tracks a stolen laptop to the uncle of a young boy who is Gibbs' former neighbor.,Diana Valentine,Steven D. Binder & Scott Williams
18,15,Blown Away,"May 18, 2021","When members of an NCIS Regional Enforcement Action Capabilities Training Team (REACT) are killed during an explosion, Special Agent Jessica McKnight, the lone surviving member, helps crack the case using high tech body armor.",Michael Zinberg,Marco Schnabel & Christopher J. Waild
18,16,Rule 91,"May 25, 2021","While pursuing a dangerous arms dealer, the team is shocked when Bishop is implicated in an old NSA leak. Also, Gibbs and Marcie realize the killer they've been tracking may be onto them.",Diana Valentine,Brendan Fehily & David J. North
19,1,Blood in the Water,"September 20, 2021","As the team searches for Gibbs after wreckage from his boat is discovered, they find out he was tracking a serial killer with journalist Marcie Warren, who wrote an exposé on him.",Michael Zinberg,Christopher J. Waild
19,2,Nearly Departed,"September 27, 2021","While trying to find the serial killer Gibbs was after, the team discovers another person has been tracking the case as well.",Terrence O'Hara,Scott Williams
19,3,Road to Nowhere,"October 4, 2021",Gibbs and Parker go on a road trip to find one of the serial killer's victims. Also Knight goes undercover at a large manufacturing company with ties to the murders.,Rocky Carroll,Marco Schnabel
19,4,Great Wide Open,"October 11, 2021",Gibbs and McGee head to Alaska while the team works at home to uncover the conspiracy behind the serial killer.,Terrence O'Hara,Brendan Fehily & David J. North
19,5,Face the Strange,"October 18, 2021",The team investigates the death of a Navy commander whose body suddenly explodes before Jimmy can examine it.,Diana Valentine,Steven D. Binder
19,6,False Start,"November 1, 2021",The team investigates the death of a beloved Navy commander who trained some of the top athletes in the country.,James Whitmore Jr.,Katherine Beattie & Christopher J. Waild
19,7,Docked,"November 8, 2021",The team investigates the death of a man on a cruise ship whose body is discovered in the ship's sauna by none other than McGee's mother-in-law.,Michael Zinberg,Marco Schnabel & Yasemin Yilmaz
19,8,Peacekeeper,"November 29, 2021","The team investigates the case of a Navy reservist whose body is found in a beat-up car at the end of a gun range. Also, Kasie weighs the pros and cons of buying a gun.",Rocky Carroll,Margaret Rose Lester & Scott Williams
19,9,Collective Memory,"December 6, 2021","When a hotshot financial advisor is found shot at a naval station, the team investigates the case of interviewing the victim's three-dimensional hologram of herself, which she created before her death.",Leslie Libman,Kimberly-Rose Wolter & David J. North
19,10,Pledge of Allegiance,"January 3, 2022",The team is called in when a Navy chief warrant officer is suspected of trying to sell stolen classified Navy software used to pilot combat drones.,Rocky Carroll,Brendan Fehily
19,11,All Hands,"January 17, 2022","After a civilian research vessel in the North Atlantic picks up a small boat of wounded Navy officers, the team arrives on the ship and is forced to hide after discovering terrorists on board. Also, Knight takes a paper doll with her on the mission to capture photos for her niece's grade school class.",Martha Mitchell,Christopher J. Waild
19,12,Fight or Flight,"January 24, 2022","When the body of a Navy lieutenant is discovered missing an eye, the team investigation leads to the world of cage fighting.",James Whitmore Jr.,Katherine Beattie
19,13,The Helpers,"February 28, 2022","While investigating the death of an intruder at Quantico, Jimmy and Kasie are exposed to a deadly biotoxin, and the team calls on Carol Wilson for help as they race to find the antidote. Also, Torres tries to distract Jimmy's daughter who came to the office to spend the day with her dad.",Diana Valentine,Brian Dietzen & Scott Williams
19,14,First Steps,"March 7, 2022","As the team investigates the cause of death of a reservist Navy Seal surgeon, they're forced to bring Vance's daughter, who recently trained with NCIS, to help with a highly dangerous mission.",Michael Zinberg,Yasemin Yilmaz
19,15,Thick As Thieves,"March 14, 2022",Parker's delinquent past resurfaces when the team is called to Philadelphia to investigate the death of a Navy petty officer.,Terrence O'Hara,Marco Schnabel
19,16,The Wake,"March 21, 2022",A gruesome mishap at a Navy petty officer's gender-reveal party leads the team to the case of a missing teacher that was popularized on a true crime podcast.,Rocky Carroll,Katie White
19,17,Starting Over,"March 28, 2022","The team investigates the apparent suicide of a retired Navy officer who was in Palmer and Knight's grief group. Also, Torres gets a call from Jane Tennant to come to Hawai'i when she gets a lead on a witness from a case they worked on together.",Michael Zinberg,Margaret Rose Lester & Scott Williams
19,18,Last Dance,"April 18, 2022","When an infamous arms dealer is released from prison and bodies start piling up, Torres is forced to face the repercussions of his actions during an undercover operation he worked on years ago.",Terrence O'Hara,Brendan Fehily & David J. North
19,19,The Brat Pack,"May 2, 2022","The team investigates a ring of clever teenage partygoers when a string of break-ins takes place at Marine Base Quantico. Whereas working the case, McGee forms a bond with one of the teens.",Michael Zinberg,Katherine Beattie & Kimberly-Rose Wolter
19,20,All or Nothing,"May 16, 2022",The team investigates the unexpected death of a Navy reservist who was an investigative journalist while Knight and Jimmy's budding romance is put on hold when a vital organ transfer goes fatally wrong.,Tawnia McKiernan,& Marco Schnabel & Yasemin Yilmaz Yasemin Yilmaz
19,21,Birds of a Feather,"May 23, 2022","When Parker is framed for murder, the team puts their jobs and lives on the line in order to buy time and uncover the truth.",Terrence O'Hara,Christopher J. Waild
20,1,A Family Matter,"September 19, 2022","Parker is still on the run with his ex-wife, so the team investigates who from his past might have a personal vendetta against him in hopes of clearing Parker's name. Enlisting the help of Special Agent Jane Tennant and Computer Specialist Ernie Malik, who are in town meeting with Vance in preparation for a global military exercise, the group tracks down their prime suspect, The Raven.",Tawnia McKiernan,Scott Williams
20,2,Daddy Issues,"September 26, 2022",McGee's personal and professional life intersect when a dad from his children's school is linked to a break-in at a government storage bunker.,Michael Zinberg,Christopher J. Waild
20,3,Unearth,"October 3, 2022","When a dead body is found at an ancient burial site that is thought to be cursed, the team tries to determine the motive and the symbolism behind the crime. Also, as Torres continues therapy with Grace Confalone, he discovers that their lives are in danger.",Diana Valentine,Yasemin Yilmaz
20,4,Leave No Trace,"October 10, 2022","Knight's past resurfaces when her ex-boyfriend, a National Park Service agent, teams up with the team to investigate a campsite murder.",William Webb,Chad Gomez Creasey
20,5,Guardian,"October 17, 2022","Parker steps up to protect Vance after a terrifying home invasion. Also, the team detects advancements in Jessica and Jimmy's blossoming romance.",James Whitmore Jr.,Marco Schnabel
20,6,The Good Fighter,"October 24, 2022","When an NCIS agent turns up dead and Kasie goes unaccounted for, the team must work quickly to find the killer.",José Clemente Hernandez,Kimberly-Rose Wolter
20,7,Love Lost,"November 14, 2022",The team must investigate the Secretary of the Navy when her husband claims she tried to murder him.,Rocky Carroll,Brendan Fehily & David J. North
20,8,Turkey Trot,"November 21, 2022","After an unknown shooter causes chaos at annual Thanksgiving 5K, time is of the essence for the team to find the culprit. Also, Kasie joins Knight for Thanksgiving lunch at Knight's sister's house.",Lionel Coleman,Diona Reasonover & Scott Williams
20,9,Higher Education,"December 5, 2022",The team investigates the death of a college student who was killed while running across the street and had connections to Delilah.,Claudia Yarmy,Katherine Beattie
20,10,Too Many Cooks,"January 9, 2023","Agents from Washington D.C., L.A. and Hawai'i, all in D.C. to attend the retirement party of a beloved Federal Law Enforcement Training Center (FLETC) professor, find themselves investigating his shocking suicide.",Michael Zinberg,Christopher J. Waild
20,11,Bridges,"January 16, 2023","Parker discovers he's a victim of identity theft while investigating the unusual murder of a Navy ensign. Also, Knight and Jimmy face hurdles in their relationship as their connection heightens.",Lionel Coleman,Chad Gomez Creasey
20,12,Big Rig,"January 23, 2023","When an old pal of Torres' comes to him - disheveled and bloodied - for guidance amidst an undercover FBI operation and then disappears, the team helps track him down. Also, McGee prepares to contestant on a popular game show.",Rocky Carroll,Marco Schnabel
20,13,Evil Eye,"February 6, 2023","In preparation for a role, a world-renowned actress shadows the team as they investigate a decapitation case.",Michael Zinberg,Brendan Fehily & Kimberly-Rose Wolter
20,14,Old Wounds,"February 13, 2023",Parker grapples with his emotions when a conman from his past turns up as a prime suspect in the murder of a Navy officer transporting millions of dollars' worth of opioids.,Diana Valentine,Brian Dietzen & Scott Williams
20,15,Unusual Suspects,"February 27, 2023","The team investigates the death of a ride-share driver who was found after a car accident. Also, Parker's father who is temporarily living with him, assists the team in their investigation.",James Whitmore Jr.,Katherine Beattie
20,16,Butterfly Effect,"March 13, 2023","The team jumps into motion to investigate who is responsible for a potential bio terror attack at a strip mall parking garage. Also, Knight's father deals with a health scare while in Japan.",Tawnia McKiernan,Christopher J. Waild
20,17,Stranger in a Strange Land,"March 20, 2023","The team works to solve the murder of a Marine private who appears to have been killed for helping an Afghan refugee. Also, Jimmy navigates the pressure of parenting his teenage daughter, who is eager to go out on an unchaperoned group date.",James Whitmore Jr.,Chad Gomez Creasey
20,18,Head Games,"April 10, 2023","The team digs deep to investigate a Navy lieutenant who's accused of trying to murder her husband but has no memory of the attack. Also, Kasie navigates a potential medical scare.",Michael Zinberg,Sydney Mitchel
20,19,In the Spotlight,"May 1, 2023",Knight goes viral for saving a mother and child from a potentially fatal car accident.,Rocky Carroll,Yasemin Yilmaz
20,20,Second Opinion,"May 8, 2023","The team works to solve the murder of a senator's daughter who has a rebellious reputation and large online following. Also, Jimmy gets competitive with an old college rival.",Tawnia McKiernan,Marco Schnabel
20,21,Kompromat,"May 15, 2023","When a suspicious murder occurs in the classified section of the National Archive, the team must investigate a string of Russian spy encounters that may be a linked to the crime. Also, Jimmy accidentally makes a confession that could change the course of his relationship with Knight.",Lionel Coleman,Scott Williams
20,22,Black Sky,"May 22, 2023",Torres finds himself in prison as the team tries to stop an impending terror attack on U.S. soil.,Diana Valentine,Brendan Fehily & David J. North
21,1,Algún Día,"February 12, 2024",The NCIS team must help Torres when he puts his future at stake by confronting the man who tormented his family when he was a child.,Diana Valentine,Christopher J. Waild
21,2,The Stories We Leave Behind,"February 19, 2024","As NCIS mourns the loss of Ducky, the agents find comfort in working on one of his unfinished cases involving a young woman whose father was dishonorably discharged from the Marines.",Michael Zinberg,Brian Dietzen & Scott Williams
21,3,Lifeline,"February 26, 2024","When the NCIS team engages in Walk-a-Mile day to gain a new perspectives on different departments, things take a turn when Kasie receives a distress call from a mysterious man.",Rocky Carroll,Marco Schnabel
21,4,Left Unsaid,"March 4, 2024","When an officer goes missing during his wedding proposal, the NCIS team against time to find him before it's too late.",Daniela Ruah,Yasemin Yilmaz
21,5,The Plan,"March 25, 2024","With the help of Knight's father, NCIS works to unravel the mystery of a recently used service weapon belonging to a missing agent while McGee is in a tailspin when DNA results reveal a close relative he was unaware of.",Lionel Coleman,Katherine Beattie & Chad Gomez Creasey
21,6,Strange Invaders,"April 1, 2024","After discovering a navy pilot's body riddled with unusual wounds, NCIS' investigation draws the team into the rabbit hole of UFO conspiracy theories.",Claudia Yarmy,Gina Gold & Aurorae Khoo & Steven D. Binder
21,7,A Thousand Yards,"April 15, 2024","NCIS comes under attack by a mysterious enemy from the past. Also, Vance tries to mend fences with his estranged son by explaining why, despite the ongoing dangers of his job, he still chooses to stay at NCIS.",Diana Valentine,Christopher J. Waild
21,8,Heartless,"April 22, 2024",The NCIS team looks for a motive behind the kidnapping and death of a famous heart surgeon.,Michael Zinberg,Sydney Mitchel & Brendan Fehily
21,9,Prime Cut,"April 29, 2024","After discovering the remains of a Marine captain, the NCIS team travels to Texas to interrogate the suspected killer.",Diana Valentine,Marco Schnabel & Chad Gomez Creasey
21,10,Reef Madness,"May 6, 2024","Parker and Knight discover three bodies on an old Navy ship that’s about to be sunk and turned into an artificial reef, when they’re suddenly locked inside by a mysterious figure. Also, Vance offers Knight a unique opportunity",José Clemente Hernandez,Scott Williams
